BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,25000000,$,ActionDramaSport,PG-13,September,8.1,140,Warrior,2011
Color,,,ActionCrimeDramaMysteryThriller,,September,8.1,104,A Wednesday,2008
Color,33000000,$,Drama,R,December,8.1,116,Gran Torino,2008
Color,125000000,$,AdventureDramaFantasyMystery,PG-13,July,8.1,130,Harry Potter and the Deathly Hallows: Part 2,2011
Color,,,DramaMusic,PG-13,May,8.1,130,Departures,2008
Color,16000000,$,BiographyDramaFamily,,March,8.1,93,Hachi: A Dog's Tale,2009
Color,8240000,AUD,AnimationComedyDramaFamily,,March,8.1,92,Mary and Max,2009
Color,165000000,$,ActionAdventureAnimationFamilyFantasy,PG,March,8.1,98,How to Train Your Dragon,2010
Color,15000000,$,AdventureBiographyDrama,R,September,8.1,148,Into the Wild,2007
Color,25000000,$,CrimeDramaThriller,R,November,8.1,122,No Country for Old Men,2007
Color,54000000,$,ActionDramaSci-FiThriller,R,March,8.1,132,V for Vendetta,2005
Color,,,Drama,PG-13,February,8.1,141,Nobody Knows,2004
Color,,,ComedyCrimeDrama,,January,8.1,167,Rang De Basanti,2006
Color,30000000,$,DramaSport,PG-13,December,8.1,132,Million Dollar Baby,2004
Color,17500000,$,BiographyDramaHistoryWar,PG-13,December,8.1,121,Hotel Rwanda,2004
Color,2700000,$,DramaRomance,R,July,8.1,80,Before Sunset,2004
Color,,,ComedyDrama,,December,8.1,156,Munna Bhai M.B.B.S.,2003
Color,2800000,$,CrimeDramaMysteryThriller,,July,8.1,127,Memories of Murder,2003
Color,140000000,INR,ComedyDramaRomance,,August,8.1,183,Dil Chahta Hai,2001
Color,30000000,$,ActionCrimeDramaThriller,R,October,8.1,111,Kill Bill: Vol. 1,2003
Color,94000000,$,AdventureAnimationComedyFamily,,June,8.1,100,Finding Nemo,2003
Color,52000000,$,BiographyCrimeDrama,PG-13,December,8.1,141,Catch Me If You Can,2002
Color,2000000,$,DramaThriller,R,April,8.1,115,Amores Perros,2000
Color,115000000,$,AdventureAnimationComedyFamilyFantasy,G,November,8.1,92,"Monsters, Inc.",2001
Color,,,ActionAnimationDramaFantasySci-Fi,,,8.1,87,Neon Genesis Evangelion: The End of Evangelion,1997
Color,250000000,INR,DramaMusicalSport,PG,June,8.1,224,Lagaan: Once Upon a Time in India,2001
Color,40000000,$,DramaMysteryThriller,PG-13,August,8.1,107,The Sixth Sense,1999
Color,1300000,$,Drama,R,June,8.1,105,The Celebration,1998
Color,9000000,$,DramaMusicRomance,R,October,8.1,125,The Legend of 1900,1998
Color,60000000,$,ComedyDrama,PG,June,8.1,103,The Truman Show,1998
Color,,,ComedyCrimeRomance,R,June,8.1,127,"Crna macka, beli macor",1998
Color,15000000,$,ComedyCrimeSport,R,March,8.1,117,The Big Lebowski,1998
Color,,,DramaRomance,PG,February,8.1,98,In the Mood for Love,2000
Color,1500000,GBP,Drama,R,July,8.1,105,Trainspotting,1996
Color,7000000,$,CrimeDramaThriller,R,March,8.1,98,Fargo,1996
Color,14000000,$,ComedyDramaFantasyWar,,June,8.1,320,Underground,1995
Black and White,2590000,EUR,CrimeDrama,,February,8.1,98,La Haine,1995
Color,40000000,INR,DramaRomance,,October,8.1,189,Dilwale Dulhania Le Jayenge,1995
Color,2500000,$,DramaRomance,R,January,8.1,101,Before Sunrise,1995
Color,,,DramaMysteryRomance,R,November,8.1,99,Three Colors: Red,1994
Color,,,ComedyCrimeDramaMysteryRomance,PG-13,March,8.1,102,Chungking Express,1994
Color,,,ActionComedyRomance,,November,8.1,160,Andaz Apna Apna,1994
Color,63000000,$,ActionAdventureSci-FiThriller,PG-13,June,8.1,127,Jurassic Park,1993
Color,13000000,$,BiographyCrimeDrama,R,January,8.1,133,In the Name of the Father,1993
Color,4000000,$,DramaMusicRomance,R,October,8.1,155,Farewell My Concubine,1993
Color,,,DramaHistoryRomance,,March,8.1,125,Raise the Red Lantern,1991
Color,16400000,$,ComedyDrama,,June,8.1,140,Dead Poets Society,1989
Color,16000000,$,AdventureFamilyFantasyRomance,,September,8.1,98,The Princess Bride,1987
Color,8000000,$,AdventureDrama,,August,8.1,89,Stand by Me,1986
Color,6000000,$,DramaWar,,December,8.1,120,Platoon,1986
Color,,,Drama,,October,8.1,149,The Sacrifice,1986
Color,1162000,GBP,Drama,,August,8.1,145,"Paris, Texas",1984
Color,1000000,$,AdventureAnimationFantasySci-Fi,PG,November,8.1,95,Nausicaä of the Valley of the Wind,1984
Color,15000000,$,HorrorMysterySci-Fi,,June,8.1,127,The Thing,1982
Color,,,AdventureDrama,,October,8.1,158,Fitzcarraldo,1982
Color,6000000,$,Drama,,December,8.1,312,Fanny and Alexander,1982
Color,28000000,$,ActionSci-FiThriller,R,June,8.1,110,Blade Runner,1982
Black and White,5000000,$,BiographyDrama,,October,8.1,124,The Elephant Man,1980
Color,6000000,RUR,DramaSci-Fi,,September,8.1,162,Stalker,1979
Color,4000000,$,Comedy,,August,8.1,94,Monty Python's Life of Brian,1979
Color,15000000,$,DramaWar,,February,8.1,183,The Deer Hunter,1978
Color,960000,$,DramaSport,,December,8.1,145,Rocky,1976
Color,3800000,$,Drama,R,November,8.1,121,Network,1976
Color,11000000,$,AdventureDramaHistoryWar,,December,8.1,185,Barry Lyndon,1975
Color,622000,RUR,BiographyDrama,,September,8.1,107,Mirror,1975
Black and White,2500000,$,ComedyCrimeDrama,,May,8.1,102,Paper Moon,1973
Color,400000,$,Drama,,March,8.1,91,Cries & Whispers,1972
